Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,36MCDF,CERTIFICATES OF DEPOSIT (CD),"1,000",,Offline,36,Fixed,0.05%,0.05%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,10000,49999.99,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,50000,99999.99,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,100000,,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,2000,9999.99,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,10000,49999.99,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,50000,99999.99,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,100000,,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBV,Standard Rates,1,2499.99,offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBV,Standard Rates,2500,,offline,,Fixed,0.01%,0.01%
