Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30,Variable,4.50%,5.11%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30,Variable,4.88%,5.20%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.63%,4.70%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20,Fixed,4.38%,4.48%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.00%,4.17%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30,Variable,4.50%,4.83%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30,Variable,4.63%,4.87%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.50%,4.56%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.38%,4.45%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_7/1,, Offline ,30,Variable,4.00%,4.49%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,30YMV,Mortgage_5/1,, Offline ,30,Variable,4.00%,4.59%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.63%,4.82%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20,Fixed,4.38%,4.62%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
