Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.125%,4.272%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.750%,3.916%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.625%,3.944%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.750%,4.879%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.750%,4.761%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.000%,4.713%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.125%,4.656%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.250%,5.088%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,3.875%,4.929%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-04-13,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.375%,4.649%,300000.0,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
