Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30Fixed,,offline,30.0,Fixed,5.00%,5.21%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15Fixed,,offline,15.0,Fixed,4.63%,4.91%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,offline,30.0,Variable,4.63%,5.04%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,offline,30.0,Variable,4.63%,5.00%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,offline,30.0,Variable,4.63%,5.08%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.750%,5.036%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.500%,4.886%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.375%,4.847%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.500%,5.058%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30.0,Fixed,4.875%,5.129%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.625%,4.714%,"300,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.375%,4.511%,"300,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.125%,4.260%,"300,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.500%,4.772%,"300,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.625%,4.678%,"500,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.375%,4.543%,"500,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.000%,4.450%,"500,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30.0,Fixed,4.000%,4.525%,"500,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.63%,4.83%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.38%,4.65%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,4.00%,4.32%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.75%,4.29%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.88%,4.62%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.88%,4.55%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.13%,4.55%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.25%,4.58%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 YR FIXED,,Offline,30.0,Fixed,4.38%,5.21%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,FHA 5-1 ARM,,Offline,30.0,Variable,3.75%,5.12%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.63%,4.97%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15.0,Fixed,4.13%,4.76%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.38%,4.51%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.13%,4.32%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.75%,3.95%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.63%,3.97%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.75%,4.51%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.75%,4.44%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.00%,4.44%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.13%,4.44%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.38%,5.20%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
