Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,24MCDF,2 years,"$50,000-$99,999.99",Offline,24.0,Fixed,0.50%,0.50%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,24MCDF,2 years,"$100,000-$499,999.99",Offline,24.0,Fixed,0.50%,0.50%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,24MCDF,2 years,"$500,000-$999,999.99",Offline,24.0,Fixed,0.50%,0.50%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,24MCDF,2 years,"$1,000,000+",Offline,24.0,Fixed,0.50%,0.50%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"Below $10,000",Offline,36.0,Fixed,0.70%,0.70%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$10,000-$24,999.99",Offline,36.0,Fixed,0.70%,0.70%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$25,000-$49,999.99",Offline,36.0,Fixed,0.70%,0.70%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$50,000-$99,999.99",Offline,36.0,Fixed,0.70%,0.70%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$100,000-$499,999.99",Offline,36.0,Fixed,0.70%,0.70%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$500,000-$999,999.99",Offline,36.0,Fixed,0.70%,0.70%
03/09/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$1,000,000+",Offline,36.0,Fixed,0.70%,0.70%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$2,000.00 - $9,999.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$10,000.00 - $49,999.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$50,000.00 - $99,999.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$100,000.00 and above",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$2,000.00 - $9,999.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$10,000.00 - $49,999.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$50,000.00 - $99,999.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$100,000.00 and above",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Standard Savings,"$1.00 - $2,499.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,Standard Savings,"$2,500.00 and above",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,$1.00 - $499.99,offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,"$500.00 - $1,499.99",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,"$1,500.00 and above",offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,$1.00 - $999.99,offline,6.0,Fixed,0.04%,0.04%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$1,000.00 - $9,999.99",offline,6.0,Fixed,0.06%,0.06%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$10,000.00 - $24,999.99",offline,6.0,Fixed,0.08%,0.08%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$25,000.00 - $99,999.99",offline,6.0,Fixed,0.10%,0.10%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$100,000.00 - $499,999.99",offline,6.0,Fixed,0.12%,0.12%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$500,000.00 and above",offline,6.0,Fixed,0.14%,0.14%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,$1.00 - $999.99,offline,12.0,Fixed,0.04%,0.04%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$1,000.00 - $9,999.99",offline,12.0,Fixed,0.15%,0.15%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$10,000.00 - $24,999.99",offline,12.0,Fixed,0.18%,0.18%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$25,000.00 - $99,999.99",offline,12.0,Fixed,0.20%,0.20%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$100,000.00 - $499,999.99",offline,12.0,Fixed,0.22%,0.22%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$500,000.00 and above",offline,12.0,Fixed,0.24%,0.24%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,24MCDF,24 MONTHS,$1.00 - $999.99,offline,24.0,Fixed,0.04%,0.04%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,24MCDF,24 MONTHS,"$1,000.00 - $9,999.99",offline,24.0,Fixed,0.25%,0.25%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,24MCDF,24 MONTHS,"$10,000.00 - $24,999.99",offline,24.0,Fixed,0.30%,0.30%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,24MCDF,24 MONTHS,"$25,000.00 - $99,999.99",offline,24.0,Fixed,0.35%,0.35%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,24MCDF,24 MONTHS,"$100,000.00 - $499,999.99",offline,24.0,Fixed,0.40%,0.40%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,24MCDF,24 MONTHS,"$500,000.00 and above",offline,24.0,Fixed,0.45%,0.45%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,$1.00 - $999.99,offline,36.0,Fixed,0.04%,0.04%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$1,000.00 - $9,999.99",offline,36.0,Fixed,0.30%,0.30%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$10,000.00 - $24,999.99",offline,36.0,Fixed,0.35%,0.35%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$25,000.00 - $99,999.99",offline,36.0,Fixed,0.40%,0.40%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$100,000.00 - $499,999.99",offline,36.0,Fixed,0.45%,0.45%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$500,000.00 and above",offline,36.0,Fixed,0.50%,0.50%
03/09/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,Ready Access Certificate of Deposit,"$1,000.00 and above",offline,12.0,Fixed,0.15%,0.15%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Essential Savings,$0 ,Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$1,000 ",Offline,,Variable,0.01%,0.01%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$2,499.99 or less",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$2,500 to $9,999.99",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$10,000 to $24,999.99",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$25,000 to $49,999.99",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$50,000 to $99,999.99",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$100,000 to $249,999.99",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$250,000 to $499,999.99",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,"$500,000 to $999,999.99",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Select Savings,$1 million or more.,Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,6MCDF,CD_6 Month,"$2,000 ",Offline,6.0,Fixed,0.35%,0.35%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,12MCDF,CD_12 Month,"$2,000 ",Offline,12.0,Fixed,1.24%,1.25%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,18MCDF,CD_18 Month,"$2,000 ",Offline,18.0,Fixed,1.34%,1.35%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,24MCDF,CD_24 Month,"$2,000 ",Offline,24.0,Fixed,1.73%,1.75%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,58MCDF,CD_58 Month,"$2,000 ",Offline,58.0,Fixed,1.98%,2.00%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,CD,66MCDF,CD_66 Month,"$2,000 ",Offline,66.0,Fixed,2.47%,2.50%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Savings,_MSBV,Balanced Banking,"$3,000 ",Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Essential Checking,$500 ,Offline,,Variable,,
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$2,499.99 or less",Offline,,Variable,,0.01%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$2,500 to $9,999.99",Offline,,Variable,,0.01%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$10,000 to $24,999.99",Offline,,Variable,,0.01%
03/09/2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Deposits,Checking,_MCCV,Select Checking,"$25,000 or more.",Offline,,Variable,,0.01%
