Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.124%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.761%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.805%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.849%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.625%,4.986%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,5.000%,5.234%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,4.625%,4.933%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.053%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.014%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.086%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.750%,5.036%,"1,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.500%,4.886%,"1,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.375%,4.847%,"1,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.500%,5.058%,"1,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30.0,Fixed,4.875%,5.129%,"1,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.625%,4.714%,"3,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.375%,4.511%,"3,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.125%,4.260%,"3,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.500%,4.772%,"3,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30.0,Fixed,4.625%,4.804%,"3,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.625%,4.689%,"5,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.375%,4.562%,"5,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.000%,4.450%,"5,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30.0,Fixed,4.000%,4.535%,"5,00,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.63%,4.83%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.38%,4.65%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,4.00%,4.32%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.75%,4.29%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.88%,4.62%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.88%,4.55%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.13%,4.56%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.25%,4.58%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.63%,5.49%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,4.50%,5.61%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.75%,5.10%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15.0,Fixed,4.63%,5.21%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.38%,4.51%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.25%,4.34%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.75%,3.95%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.63%,3.97%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.75%,4.51%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.88%,4.44%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.00%,4.44%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.13%,4.45%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.38%,5.20%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,3.88%,4.93%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.38%,4.68%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15.0,Fixed,4.00%,4.49%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
