Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,10Fixed,,Offline,30,Fixed,3.75%,4.18%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.38%,4.77%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.38%,4.81%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.38%,4.85%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.63%,5.00%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30Fixed,,Offline,30,Fixed,5.00%,5.21%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15Fixed,,Offline,15,Fixed,4.63%,4.91%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.63%,5.04%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.63%,5.00%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.63%,5.08%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,,Offline,30,Fixed,4.75%,5.04%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,,Offline,20,Fixed,4.50%,4.89%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
