Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,30 YR FIXED,,Offline,30.0,Fixed,4.125%,4.207%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,15YMF,15 YR FIXED,,Offline,15.0,Fixed,3.750%,3.948%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 YR ARM,,Offline,30.0,Variable,3.250%,4.743%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 YR ARM,,Offline,30.0,Variable,3.375%,4.617%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 YR ARM,,Offline,30.0,Variable,3.625%,4.496%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 YR FIXED,,Offline,30.0,Fixed,4.250%,5.084%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,FHA 5-1 ARM,,Offline,30.0,Variable,3.750%,5.252%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 YR FIXED,,Offline,30.0,Fixed,4.375%,4.644%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Mortgages,Mortgages,30YMV,VA 5-1 ARM,,Offline,30.0,Variable,4.000%,4.668%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,Agency 30 Year Fixed,,Offline,30.0,Fixed,4.400%,4.4881%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,15YMF,Agency 15 Year Fixed,,Offline,15.0,Fixed,3.800%,3.9135%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,Jumbo 30 Year Fixed,,Offline,30.0,Fixed,4.625%,4.6767%,500000,25%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 5/1 ARM,,Offline,30.0,Variable,3.990%,4.7153%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 7/1 ARM,,Offline,30.0,Variable,3.900%,4.5401%,200000,20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Year Fixed,,Offline,30.0,Fixed,4.200%,5.2689%,200000,4%,660,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Year Fixed,,Offline,30.0,Fixed,4.200%,4.4392%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Year Fixed,,Offline,15.0,Fixed,4.375%,4.8053%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,30YMV,VA 30 Year 5/1 ARM,,Offline,30.0,Variable,5.300%,4.9618%,200000,0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed Rate,,Offline,30.0,Fixed,4.500%,4.580%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,20YMF,20-Year Fixed Rate,,Offline,20.0,Fixed,4.375%,4.455%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed-Rate VA,,Offline,30.0,Fixed,4.375%,4.681%,200000,0%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.250%,4.705%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,15YMF,15-Year Fixed-Rate Jumbo,,Offline,15.0,Fixed,4.250%,4.268%,750000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed-Rate Jumbo,,Offline,30.0,Fixed,4.500%,4.509%,750000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.125%,4.756%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,15YMF,15-Year Fixed Rate,,Offline,15.0,Fixed,4.125%,4.246%,200000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM Jumbo,,Offline,30.0,Variable,4.000%,4.528%,750000,25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-04-09,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM Jumbo,,Offline,30.0,Variable,4.125%,4.472%,750000,25%,740,New Purchase,Primary Residence,Principal + Interest
