Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,"50,000","99,999.99",Offline,,Variable,0.08%,0.08%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,"100,000","499,999.99",Offline,,Variable,0.10%,0.10%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,"500,000","999,999.99",Offline,,Variable,0.13%,0.13%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,"1,000,000",,Offline,,Variable,0.13%,0.13%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,,"10,000",Offline,,Variable,0.04%,0.04%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,"10,000","24,999.99",Offline,,Variable,0.04%,0.04%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,"25,000","49,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,"50,000","99,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,"100,000","499,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,"500,000","999,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,"1,000,000",,Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,,"10,000",Offline,,Variable,0.04%,0.04%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,"10,000","24,999.99",Offline,,Variable,0.04%,0.04%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,"25,000","49,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,"50,000","99,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,"100,000","499,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,"500,000","999,999.99",Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,"1,000,000",,Offline,,Variable,0.06%,0.06%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,,"10,000",Offline,6.0,Fixed,0.07%,0.07%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,"10,000","24,999.99",Offline,6.0,Fixed,0.07%,0.07%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,"25,000","49,999.99",Offline,6.0,Fixed,0.07%,0.07%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,"50,000","99,999.99",Offline,6.0,Fixed,0.07%,0.07%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,"100,000","499,999.99",Offline,6.0,Fixed,0.07%,0.07%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,"500,000","999,999.99",Offline,6.0,Fixed,0.07%,0.07%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,"1,000,000",,Offline,6.0,Fixed,0.07%,0.07%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,,"10,000",Offline,12.0,Fixed,0.25%,0.25%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,"10,000","24,999.99",Offline,12.0,Fixed,0.25%,0.25%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,"25,000","49,999.99",Offline,12.0,Fixed,0.25%,0.25%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,"50,000","99,999.99",Offline,12.0,Fixed,0.25%,0.25%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,"100,000","499,999.99",Offline,12.0,Fixed,0.25%,0.25%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,"500,000","999,999.99",Offline,12.0,Fixed,0.25%,0.25%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,"1,000,000",,Offline,12.0,Fixed,0.25%,0.25%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,,"10,000",Offline,36.0,Fixed,0.70%,0.70%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,"10,000","24,999.99",Offline,36.0,Fixed,0.70%,0.70%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,"25,000","49,999.99",Offline,36.0,Fixed,0.70%,0.70%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,"50,000","99,999.99",Offline,36.0,Fixed,0.70%,0.70%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,"100,000","499,999.99",Offline,36.0,Fixed,0.70%,0.70%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,"500,000","999,999.99",Offline,36.0,Fixed,0.70%,0.70%
 2018-03-19,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,"1,000,000",,Offline,36.0,Fixed,0.70%,0.70%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,,0,"4,999",Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,,"5,000","9,999",Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,,"10,000","24,999",Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,,"25,000",,Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Savings,_MSBV,Chase Savings SM,,,,Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,6MCDF,CERTIFICATES OF DEPOSIT (CD),,"1,000",,Offline,6.0,Fixed,0.01%,0.01%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,12MCDF,CERTIFICATES OF DEPOSIT (CD),,"1,000",,Offline,12.0,Fixed,0.01%,0.01%
 2018-03-19,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,36MCDF,CERTIFICATES OF DEPOSIT (CD),,"1,000",,Offline,36.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,,10000.0,49999.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,,50000.0,99999.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,,100000.0,,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,,2000.0,9999.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,,10000.0,49999.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,,50000.0,99999.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,,100000.0,,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBV,Standard Rates,,1.0,2499.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBV,Standard Rates,,2500.0,,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,,1.0,499.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,,500.0,1499.99,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,,1500.0,,offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,1.0,9999.99,offline,,Variable,0.03%,0.03%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,10000.0,24999.99,offline,,Variable,0.09%,0.09%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,25000.0,49999.99,offline,,Variable,0.11%,0.11%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,50000.0,99999.99,offline,,Variable,0.13%,0.13%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,100000.0,249999.99,offline,,Variable,0.15%,0.15%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,250000.0,499999.99,offline,,Variable,0.15%,0.15%
