Date,Bank_Native_Country,Zip_code,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Product_Term,Product_Interest,Product_Apy,Mortgage_Loan,Mortgage_Down_Payment,Min_Credit_Score_Mortagage,Mortgage_Apr
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,No Penalty CD_11 month,"$5,000-$24,999.99",Online,11 month,,1.25%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,No Penalty CD_11 month,"$25,000 or more",Online,11 month,,1.50%,,,,
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 30-yr,,Online,360 Months,4.63%,,"300,000.00",20%,720+,4.63%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 30-yr,,Online,360 Months,4.50%,,"300,000.00",20%,720+,4.54%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 30-yr,,Online,360 Months,4.38%,,"300,000.00",20%,720+,4.46%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 25-yr,,Online,300 Months,4.63%,,"300,000.00",20%,720+,4.64%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 25-yr,,Online,300 Months,4.50%,,"300,000.00",20%,720+,4.56%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 25-yr,,Online,300 Months,4.38%,,"300,000.00",20%,720+,4.49%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 20-yr,,Online,240 Months,4.38%,,"300,000.00",20%,720+,4.40%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 20-yr,,Online,240 Months,4.25%,,"300,000.00",20%,720+,4.32%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 20-yr,,Online,240 Months,4.13%,,"300,000.00",20%,720+,4.29%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 15-yr,,Online,180 Months,4.13%,,"300,000.00",20%,720+,4.13%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 15-yr,,Online,180 Months,4.00%,,"300,000.00",20%,720+,4.09%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 15-yr,,Online,180 Months,3.88%,,"300,000.00",20%,720+,4.04%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 10-yr,,Online,120 Months,4.13%,,"300,000.00",20%,720+,4.19%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 10-yr,,Online,120 Months,4.00%,,"300,000.00",20%,720+,4.13%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 10-yr,,Online,120 Months,3.88%,,"300,000.00",20%,720+,4.08%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Fixed Rate Mortgage _ 10-yr,,Online,120 Months,3.75%,,"300,000.00",20%,720+,4.03%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 10/1,,Online,360 Months,4.50%,,"300,000.00",20%,720+,4.62%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 10/1,,Online,360 Months,4.38%,,"300,000.00",20%,720+,4.56%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 10/1,,Online,360 Months,4.25%,,"300,000.00",20%,720+,4.49%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 10/1,,Online,360 Months,4.13%,,"300,000.00",20%,720+,4.41%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 10/1,,Online,360 Months,4.00%,,"300,000.00",20%,720+,4.35%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 10/1,,Online,360 Months,3.88%,,"300,000.00",20%,720+,4.28%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 10/1,,Online,360 Months,3.75%,,"300,000.00",20%,720+,4.25%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 7/1,,Online,360 Months,4.50%,,"300,000.00",20%,720+,4.66%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 7/1,,Online,360 Months,4.38%,,"300,000.00",20%,720+,4.62%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 7/1,,Online,360 Months,4.25%,,"300,000.00",20%,720+,4.56%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 7/1,,Online,360 Months,4.13%,,"300,000.00",20%,720+,4.51%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 7/1,,Online,360 Months,4.00%,,"300,000.00",20%,720+,4.46%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 7/1,,Online,360 Months,3.88%,,"300,000.00",20%,720+,4.41%
