Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,,10000,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,10000,24999,Offline,,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,25000,49999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,50000,99999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,100000,499999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,500000,999999,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBF,Access Account Package,1000000,,Offline,,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,10000,Offline,6,Fixed,0.07%,0.07%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,10000,24999,Offline,6,Fixed,0.07%,0.07%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,25000,49999,Offline,6,Fixed,0.07%,0.07%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,50000,99999,Offline,6,Fixed,0.07%,0.07%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,100000,499999,Offline,6,Fixed,0.07%,0.07%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,500000,999999,Offline,6,Fixed,0.07%,0.07%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,1000000,,Offline,6,Fixed,0.07%,0.07%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,10000,Offline,12,Fixed,0.25%,0.25%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,10000,24999,Offline,12,Fixed,0.25%,0.25%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,25000,49999,Offline,12,Fixed,0.25%,0.25%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,50000,99999,Offline,12,Fixed,0.25%,0.25%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,100000,499999,Offline,12,Fixed,0.25%,0.25%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,500000,999999,Offline,12,Fixed,0.25%,0.25%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,1000000,,Offline,12,Fixed,0.25%,0.25%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,10000,Offline,36,Fixed,0.70%,0.70%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,10000,24999,Offline,36,Fixed,0.70%,0.70%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,25000,49999,Offline,36,Fixed,0.70%,0.70%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,50000,99999,Offline,36,Fixed,0.70%,0.70%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,100000,499999,Offline,36,Fixed,0.70%,0.70%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,500000,999999,Offline,36,Fixed,0.70%,0.70%,Bank Website
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,1000000,,Offline,36,Fixed,0.70%,0.70%,Bank Website
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Plus Checking SM,0,4999,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Plus Checking SM,5000,9999,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Plus Checking SM,10000,24999,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCF,Chase Premier Plus Checking SM,25000,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Savings,_MSBF,Chase Savings SM,,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Checking,_MCCF,Performance Interest Checking,10000,49999,offline,,Fixed,0.01%,0.01%,Bank Website
