Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$10,000-$24,999.99",Offline,,Variable,0.04%,0.04%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$25,000-$49,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$50,000-$99,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$100,000-$499,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$500,000-$999,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"$1,000,000+",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"Below $10,000",Offline,,Variable,0.04%,0.04%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$10,000-$24,999.99",Offline,,Variable,0.04%,0.04%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$25,000-$49,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$50,000-$99,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$100,000-$499,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$500,000-$999,999.99",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"$1,000,000+",Offline,,Variable,0.06%,0.06%
